address,Card Name,Mission,Standard,Shadow,Stainless Steel,Gold,Dark Matter,Ownership,Staking Weight
b12wk.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
pjzx.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
a.cxi.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
alljasar1123,ZFT League of Martians,Community Patch,,,,,,,0.00
andreabads11,ZFT League of Martians,Community Patch,,,,,,,0.00
wtkgw.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
5a5us.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
w4ox.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
gqqv4.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
martianboy21,ZFT League of Martians,Community Patch,,,,,,,0.00
bc2wm.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
.33he.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
2hrgq.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
dcorzrivera1,ZFT League of Martians,Community Patch,,,,,,,0.00
utwfy.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
csjtrading1o,ZFT League of Martians,Community Patch,,,,,,,0.00
yntfq.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
ezyh2.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
oyetmczftlom,ZFT League of Martians,Community Patch,,,,,,,0.00
mlrhm.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
ptfcs.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
qr3wu.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
q2bus.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
albwm.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
daparagaszft,ZFT League of Martians,Community Patch,,,,,,,0.00
4hhhs.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
waugw.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
gp1wy.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
szrho.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
245w2.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
ezcgy.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
4zifs.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
nftrichpanxd,ZFT League of Martians,Community Patch,,,,,,,0.00
ecostar12345,ZFT League of Martians,Community Patch,,,,,,,0.00
pymxm.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
yw2bc.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
d2xxc.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
zqggc.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
wmqxs.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
qdyv.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
vkefm.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
zfthannahm12,ZFT League of Martians,Community Patch,,,,,,,0.00
4joxi.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
zrkbm.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
c.uha.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
cwtuu.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
sigmajmdj323,ZFT League of Martians,Community Patch,,,,,,,0.00
fo3w4.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
tktf2.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
21wwy.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
nrkxc.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
3bigw.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
sytuw.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
nftjayson132,ZFT League of Martians,Community Patch,,,,,,,0.00
2igfc.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
sbefw.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
fsxxg.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
zo2bo.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
5bqx2.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
.gqfi.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
yk5wq.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
omavw.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
qfwus.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
tb5uy.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
nhawu.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
ywzh.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
heyfo.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
mi1xg.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
nemew.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
q.ng2.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
vsobi.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
1n2bo.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
zji5g.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
cgbhi.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
3k2gm.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
sp32jpzftlom,ZFT League of Martians,Community Patch,,,,,,,0.00
5vse2.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
gmivi.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
ghgxa.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
widx.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
xkxug.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
1nbfc.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
pdvxg.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
feahe.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
5nyug.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
3putk.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
caahq.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
ttngy.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
mskgs.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
oq3ew.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
wgkfw.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
cs5eq.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
cs5eq.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
11agaglrmg51,ZFT League of Martians,Community Patch,,,,,,,0.00
w5dgk.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
joshwaxanchr,ZFT League of Martians,Community Patch,,,,,,,0.00
l55ui.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
gq3vw.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
zftmboenigma,ZFT League of Martians,Community Patch,,,,,,,0.00
zf.xc.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
mmxxg.wam,Guardians of Mars,Community Patch,,,,,,,0.00
neszeusm1112,ZFT League of Martians,Community Patch,,,,,,,0.00
tz1ro.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
p33bo.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
nftpatataswx,ZFT League of Martians,Community Patch,,,,,,,0.00
le1ho.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
patrick2zonn,ZFT League of Martians,Community Patch,,,,,,,0.00
3..h4.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
arduy.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
.bsvy.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
btgxa.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
n2sh4.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
ikzxi.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
1aguo.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
chiefnyanta4,ZFT League of Martians,Community Patch,,,,,,,0.00
xx2fg.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
kt1wy.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
jefwk.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
ekxho.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
1pwwq.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
alexbartz314,ZFT League of Martians,Community Patch,,,,,,,0.00
xrrvg.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
1i3xo.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
cwrew.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
2t5g2.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
vwiuu.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
lu1v.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
d21d4.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
hohv.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
ppwgw.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
fexwq.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
3f2xc.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
.cauu.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
venhs.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
k1yfw.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
5yhgy.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
ggahw.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
zftlomcolony,ZFT League of Martians,Community Patch,,,,,,,0.00
